Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
0,Virat Kohli,Batter,0,0,c Rachin Ravindra b Mustafizur,Rachin Ravindra,21,20,0,1,105.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
0,Rachin Ravindra,Allrounder,0,0,c Rajat Patidar b Karn Sharma,Rajat Patidar,37,15,3,3,246.67,0.0,0,0,0,0,0,0,0.0,2,0.0,0
0,Faf du Plessis,Batter,1,0,c Rachin Ravindra b Mustafizur,Rachin Ravindra,35,23,8,0,152.17,0.0,0,0,0,0,0,0,0.0,0,0.0,0
0,Rajat Patidar,Batter,0,0,c Dhoni b Mustafizur,MS Dhoni,0,3,0,0,0.00,0.0,0,0,0,0,0,0,0.0,2,0.0,0
0,MS Dhoni,WK-Batter,0,1,did not bat,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,1.0,0
0,Glenn Maxwell,Allrounder,0,0,c Dhoni b D Chahar,MS Dhoni,0,1,0,0,0.00,1,0,7,0,0,0,0,7.00,1,0.0,0
0,Cameron Green,Allrounder,0,0,b Mustafizur,Mustafizur Rahman,18,22,1,0,81.82,3,0,27,2,0,0,3,9.00,1,0.0,0
0,Mustafizur Rahman,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,29,4,1,0,2,7.20,0,0.0,0
0,Anuj Rawat,WK-Batter,0,1,run out (Dhoni),MS Dhoni,48,25,4,3,192.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
0,Dinesh Karthik,WK-Batter,0,0,not out,,38,26,3,2,146.15,0.0,0,0,0,0,0,0,0.0,0,0.0,0
0,Karn Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,24,1,0,0,0,12.00,0,0.0,0
0,Alzarri Joseph,Bowler,0,0,did not bat,,0,0,0,0,0.0,3.4,0,38,0,0,0,4,10.40,0,0.0,0
0,Mayank Dagar,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,6,0,0,0,0,3.00,0,0.0,0
0,Mohammed Siraj,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,38,0,0,0,1,9.50,0,0.0,0
0,Yash Dayal,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,28,1,0,0,0,9.30,0,0.0,0
0,Deepak Chahar,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,37,1,0,0,2,9.20,0,0.0,0
