Match Number,Teams,Completed,Tied/NR,Result String,Winner,Loser,Margin Runs,Margin Wickets
1,"['Kolkata Knight Riders', 'Royal Challengers Bengaluru']",1,0,Royal Challengers Bengaluru won by 7 wkts,Royal Challengers Bengaluru,Kolkata Knight Riders,,7
2,"['Rajasthan Royals', 'Sunrisers Hyderabad']",1,0,Sunrisers Hyderabad won by 44 runs,Sunrisers Hyderabad,Rajasthan Royals,44,
3,"['Chennai Super Kings', 'Mumbai Indians']",1,0,Chennai Super Kings won by 4 wkts,Chennai Super Kings,Mumbai Indians,,4
4,"['Delhi Capitals', 'Lucknow Super Giants']",1,0,Delhi Capitals won by 1 wkt,Delhi Capitals,Lucknow Super Giants,,1
5,"['Gujarat Titans', 'Punjab Kings']",1,0,Punjab Kings won by 11 runs,Punjab Kings,Gujarat Titans,11,
6,"['Kolkata Knight Riders', 'Rajasthan Royals']",1,0,Kolkata Knight Riders won by 8 wkts,Kolkata Knight Riders,Rajasthan Royals,,8
7,"['Lucknow Super Giants', 'Sunrisers Hyderabad']",1,0,Lucknow Super Giants won by 5 wkts,Lucknow Super Giants,Sunrisers Hyderabad,,5
8,"['Chennai Super Kings', 'Royal Challengers Bengaluru']",0,,,,,,
9,"['Gujarat Titans', 'Mumbai Indians']",0,,,,,,
10,"['Delhi Capitals', 'Sunrisers Hyderabad']",0,,,,,,
11,"['Chennai Super Kings', 'Rajasthan Royals']",0,,,,,,
12,"['Kolkata Knight Riders', 'Mumbai Indians']",0,,,,,,
13,"['Lucknow Super Giants', 'Punjab Kings']",0,,,,,,
14,"['Gujarat Titans', 'Royal Challengers Bengaluru']",0,,,,,,
15,"['Kolkata Knight Riders', 'Sunrisers Hyderabad']",0,,,,,,
16,"['Lucknow Super Giants', 'Mumbai Indians']",0,,,,,,
17,"['Chennai Super Kings', 'Delhi Capitals']",0,,,,,,
18,"['Punjab Kings', 'Rajasthan Royals']",0,,,,,,
19,"['Kolkata Knight Riders', 'Lucknow Super Giants']",0,,,,,,
